Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,1.2136411369304841e-26,3.6950842756261517e-10,1.6998309489677402e-28,1.0976746937342764e-79,1.4396618769190822e-48,0.9999999996304916,1.3636661224523361e-31,1.0224252651426703e-148,1.156146809411029e-53,1.2371116113804242e-59
2,1.0,2.081400453479939e-48,3.4314414695097857e-46,1.3386324652847975e-62,6.232404947178835e-39,2.7713746830728535e-35,1.0830623761324845e-34,3.3076612466849706e-60,1.8825939125925372e-144,6.85028749643275e-26
3,2.1990431343738383e-08,6.2326055922499256e-46,4.060912422602193e-55,2.042349001846444e-15,6.829142690154557e-87,9.476731531963851e-72,9.620137545879207e-40,1.0382644881495431e-55,3.320498891479904e-42,0.9999999780095665
4,1.0,1.161934819320099e-30,2.3477238186461304e-154,1.178594584293113e-235,2.6899114162248296e-82,3.4847132818251893e-50,5.223490579277047e-106,2.5545615936395393e-168,1.9644335547561905e-201,3.1992726831505272e-236
5,1.0,1.8264014287224833e-34,2.900053489832736e-32,1.4020420244771633e-64,1.5533998235048722e-45,4.073121633981998e-66,4.1256711240304063e-54,5.551047655998939e-28,2.140796954723205e-129,5.862639286922253e-60
6,0.9999590925478871,1.1870177263266494e-55,4.0907452112895766e-05,1.0818949187271025e-32,1.6557666176313678e-30,3.4217351801368216e-25,1.0370102297764785e-32,1.0323149245089708e-116,3.3595588683208996e-42,2.4271186920293514e-25
7,1.0,2.739325748987056e-37,5.326645887113187e-67,1.940222555900292e-60,4.642158472138488e-31,2.5494907809683983e-68,4.0910498417178907e-41,2.501827925658558e-63,1.4884100299879755e-82,8.793388935600062e-27
8,7.907480391692601e-24,1.6900493917188424e-42,1.5677009336135554e-50,4.649781346733961e-72,7.296972017137455e-73,6.781436003920067e-81,1.435867084240106e-42,1.03683430171378e-139,1.0,3.461221718157697e-95
9,4.767371608388627e-22,4.875067848325844e-40,7.924454658877896e-18,5.560967935296757e-137,0.9905136085053129,7.877283361006898e-90,0.009486391494687099,3.416636975830197e-110,6.417987197005472e-81,8.193315900352522e-121
10,0.9999999999999996,3.507778931501346e-16,2.113307701238945e-65,5.3484322603146375e-21,8.750823568359879e-29,1.0875871099781904e-54,4.076793137821615e-55,2.5783570185789957e-62,1.683375282514656e-59,3.094757166893906e-61
11,2.6526207984532773e-21,6.127772195822113e-78,5.155078287499115e-78,1.27918122187142e-187,2.5202779341748393e-09,7.459156272867887e-20,0.999999997479722,4.05105332405622e-60,1.6422829646469457e-163,6.222810621316064e-88
12,0.994322156936061,0.005677843063939007,1.8753338108127597e-61,4.948137731835296e-40,1.6174763950332563e-78,7.048616711664404e-77,1.5636833782119816e-18,3.1261271956574395e-87,1.606554769292574e-20,6.3558426404940775e-74
13,3.0339626921957243e-19,1.3118257661647707e-107,1.293350250364817e-117,1.0,2.8323541866377947e-121,4.1171350319300356e-159,2.868342766889846e-115,2.3049478735026175e-157,9.638775058942947e-233,1.8989520512357292e-123
14,1.0516391415166176e-72,5.291265466973781e-87,4.78849367008854e-99,1.5113925163827149e-90,0.9999960687647417,4.6312002066815966e-37,1.454796815785943e-13,3.93123511283923e-06,1.5782345666556738e-37,1.741341875321229e-64
15,1.0,2.943330098892358e-21,1.3131271305237619e-79,5.44840234451637e-62,7.731845949979144e-117,5.901935342329062e-92,7.253405733057119e-40,4.510918142626495e-169,4.816105152806983e-103,1.6802779609084557e-122
16,0.99999999355929,4.4770279617272204e-24,3.2425692905763433e-46,6.440709854094269e-09,2.471909217504811e-29,3.3070314499520576e-38,2.610255224245612e-48,2.7235662337283322e-42,6.615619778273327e-37,1.7237521173094205e-28
17,0.9999999999999716,2.8396974483282986e-14,3.188513931706732e-20,1.6579325398927186e-52,8.016468857363079e-45,2.0341892955322847e-66,1.2470882362185974e-56,1.9017073195869003e-58,1.2787584024930658e-70,4.4936836702428624e-71
18,0.9999999999959521,4.047830454934843e-12,6.361859992564185e-177,6.129343162399374e-178,4.890654305483519e-46,4.698665756499475e-114,3.452130900576724e-88,0.0,1.1122877819390179e-215,5.819110109335736e-230
19,4.3109870792611484e-72,8.016904012160878e-71,0.9999998742885936,1.0040413256933605e-12,7.50778409984232e-63,1.9488766412416558e-16,1.2571040211931156e-07,2.6643096774232126e-90,2.6639446464573358e-20,6.559299503366751e-82
20,0.9999980302906886,5.489661697520573e-31,5.1406714807862373e-73,5.696407867533764e-93,1.0050386715824237e-55,6.850054365770836e-149,1.969709311500271e-06,1.9638428696603785e-105,1.2708580070130099e-17,8.80220354207432e-49
21,0.0006212677442403336,0.9993787322557546,3.529189946707237e-45,2.273597560151372e-29,5.184947879442116e-15,3.686213877937642e-65,8.452986477782168e-55,2.1900230191003535e-77,2.895737472114168e-58,3.0589940603299173e-58
22,0.0010730508414202914,1.6303082035208155e-82,4.6328382212925815e-88,2.58180397156655e-12,8.339556924162077e-96,8.964141962334484e-39,4.3435581845344835e-93,0.9989269491559979,8.809916688266905e-127,7.607033550427832e-35
23,8.557112741717002e-17,2.68639418304149e-13,5.795492271996317e-140,0.9999999999997313,3.6886926646247784e-59,8.912210691308769e-33,1.103102517722905e-42,1.741313223781887e-143,1.7951658406814922e-138,1.3086203156278462e-125
24,0.9999999999999991,4.877885517210812e-18,4.6530691858435616e-40,1.2387171845571318e-34,8.262081478950035e-62,2.595243782922488e-67,3.837755798205859e-30,4.4491697681482776e-132,9.37336736864234e-16,3.660681193938327e-70
