Sample_id,Sample_label
1,6
2,1
3,10
4,1
5,1
6,1
7,1
8,9
9,5
10,1
11,7
12,1
13,4
14,5
15,1
16,1
17,1
18,1
19,3
20,1
21,2
22,8
23,4
24,1
25,1
26,1
27,2
28,10
29,1
30,1
31,1
32,1
33,4
34,5
35,8
36,2
37,1
38,1
39,1
40,2
41,2
42,1
43,1
44,1
45,1
46,4
47,1
48,7
49,9
50,1
51,6
52,2
53,1
54,9
55,9
56,1
57,1
58,1
59,3
60,5
61,1
62,4
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,1
72,3
73,1
74,2
75,5
76,4
77,5
78,9
79,10
80,1
81,10
82,1
83,1
84,2
85,3
86,4
87,1
88,9
89,9
90,1
91,1
92,2
93,1
94,1
95,1
96,9
97,2
98,1
99,2
100,1
101,1
102,1
103,8
104,1
105,2
106,1
107,5
108,1
109,1
110,1
111,1
112,3
113,5
114,1
115,1
116,7
117,1
118,1
119,5
120,5
121,1
122,1
123,1
124,1
125,4
126,1
127,1
128,1
129,10
130,1
131,1
132,2
133,8
134,10
135,1
136,3
137,4
138,1
139,3
140,4
141,1
142,3
143,1
144,1
145,1
146,7
147,2
148,2
149,1
150,2
151,2
152,1
153,4
154,5
155,10
156,1
157,6
158,10
159,1
160,7
161,4
162,1
163,1
164,2
165,4
166,1
167,2
168,5
169,2
170,1
171,4
172,7
173,5
174,1
175,2
176,2
177,1
178,9
179,8
180,7
181,1
182,1
183,4
184,8
185,4
186,1
187,2
188,4
189,4
190,9
191,1
192,3
193,2
194,7
195,1
196,1
197,3
198,1
199,1
200,1
201,2
202,2
203,1
204,1
205,6
206,1
207,3
208,7
209,3
210,1
211,1
212,2
213,4
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,1
225,1
226,2
227,1
228,9
229,9
230,2
231,1
232,8
233,7
234,1
235,1
236,1
237,7
238,10
239,1
240,5
241,4
242,1
243,4
244,1
245,5
246,1
247,2
248,10
249,1
250,5
251,2
252,7
253,2
254,1
255,1
256,2
257,1
258,1
259,4
260,4
261,10
262,1
263,7
264,2
265,2
266,1
267,1
268,2
269,1
270,5
271,1
272,4
273,2
274,1
275,1
276,2
277,5
278,1
279,1
280,7
281,5
282,1
283,1
284,5
285,5
286,2
287,1
288,2
289,1
290,7
291,1
292,1
293,1
294,2
295,5
296,1
297,1
298,1
299,1
300,3
301,1
302,1
303,10
304,1
305,9
306,1
307,1
308,5
309,5
310,1
311,2
312,3
313,2
314,2
315,9
316,2
317,4
318,1
319,1
320,1
321,7
322,1
323,1
324,1
325,1
326,10
327,2
328,1
329,1
330,1
331,3
332,9
333,1
334,1
335,2
336,5
337,5
338,6
339,9
340,3
341,1
342,1
343,1
344,1
345,7
346,1
347,6
348,2
349,9
350,1
351,1
352,2
353,3
354,1
355,1
356,1
357,3
358,9
359,1
360,1
361,4
362,1
363,5
364,2
365,1
366,2
367,2
368,2
369,9
370,6
371,9
372,4
373,5
374,1
375,1
376,1
377,1
378,2
379,4
380,1
381,5
382,1
383,2
384,1
385,5
386,1
387,1
388,1
389,1
390,3
391,1
392,1
393,2
394,2
395,2
396,3
397,1
398,7
399,6
400,10
401,3
402,1
403,4
404,2
405,3
406,2
407,2
408,1
409,1
410,1
411,4
412,1
413,1
414,4
415,3
416,1
417,7
418,1
419,5
420,3
421,2
422,1
423,1
424,1
425,1
426,1
427,1
428,7
429,4
430,5
431,4
432,1
433,2
434,1
435,4
436,1
437,2
438,4
439,1
440,1
441,1
442,9
443,1
444,3
445,2
446,1
447,1
448,4
449,7
450,5
451,1
452,2
453,2
454,1
455,1
456,2
457,1
458,1
459,9
460,4
461,7
462,1
463,9
464,1
465,9
466,2
467,3
468,8
469,1
470,5
471,3
472,1
473,6
474,1
475,9
476,1
477,3
478,5
479,4
480,7
481,2
482,8
483,1
484,1
485,2
486,1
487,1
488,1
489,4
490,2
491,1
492,7
493,1
494,3
495,1
496,1
497,3
498,2
499,5
500,6
501,1
502,1
503,9
504,1
505,1
506,1
507,1
508,4
509,1
510,1
511,2
512,2
513,1
514,6
515,1
516,4
517,1
518,5
519,1
520,2
521,9
522,1
523,5
524,1
525,1
526,4
527,2
528,1
529,1
530,1
531,3
532,3
533,1
534,1
535,1
536,1
537,4
538,1
539,5
540,7
541,1
542,3
543,9
544,2
545,1
546,4
547,4
548,1
549,9
550,9
551,1
552,9
553,5
554,1
555,1
556,3
557,7
558,4
559,1
560,9
561,1
562,2
563,1
564,4
565,2
566,1
567,8
568,4
569,3
570,1
571,4
572,1
573,1
574,1
575,1
576,10
577,2
578,1
579,2
580,4
581,8
582,1
583,1
584,7
585,1
586,5
587,1
588,2
589,3
590,2
591,1
592,3
593,1
594,7
595,1
596,1
597,1
598,1
599,2
600,1
601,6
602,6
603,5
604,1
605,2
606,1
607,1
608,2
609,4
610,5
611,1
612,1
613,7
614,2
615,1
616,3
617,1
618,1
619,2
620,1
621,1
622,2
623,1
624,8
625,2
626,2
627,1
628,1
629,2
630,1
631,1
632,1
633,4
634,6
635,9
636,1
637,6
638,2
639,1
640,5
641,1
642,1
643,3
644,5
645,2
646,1
647,4
648,4
649,1
650,1
651,3
652,1
653,3
654,4
655,1
656,9
657,1
658,9
659,6
660,1
661,2
662,1
663,2
664,1
665,1
666,1
667,7
668,1
669,2
670,4
671,2
672,1
673,1
674,1
675,4
676,1
677,1
678,1
679,4
680,1
681,1
682,1
683,1
684,2
685,1
686,1
687,5
688,1
689,3
690,1
691,1
692,1
693,1
694,2
695,4
696,1
697,1
698,9
699,1
700,3
701,3
702,1
703,1
704,7
705,1
706,1
707,1
708,2
709,6
710,2
711,1
712,1
713,1
714,1
715,1
716,9
717,3
718,2
719,1
720,1
721,1
722,2
723,5
724,1
725,2
726,1
727,4
728,2
729,1
730,4
731,1
732,1
733,2
734,2
735,3
736,1
737,2
738,8
739,4
740,1
741,2
742,10
743,4
744,1
745,1
746,10
747,1
748,2
749,5
750,1
751,1
752,4
753,1
754,4
755,10
756,6
757,9
758,1
759,5
760,1
761,1
762,1
763,1
764,10
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,8
774,1
775,5
776,3
777,1
778,3
779,1
780,9
781,1
782,1
783,1
784,1
785,1
786,7
787,1
788,3
789,5
790,1
791,1
792,1
793,8
794,2
795,1
796,1
797,3
798,3
799,1
800,1
801,4
802,1
803,3
804,1
805,4
806,2
807,1
808,1
809,1
810,9
811,8
812,1
813,2
814,1
815,4
816,8
817,6
818,1
819,9
820,3
821,1
822,1
823,2
824,1
825,3
826,2
827,9
828,2
829,10
830,1
831,2
832,2
833,3
834,1
835,7
836,1
837,1
838,1
839,3
840,5
841,9
842,1
843,5
844,2
845,8
846,1
847,3
848,5
849,2
850,3
851,10
852,1
853,9
854,1
855,1
856,1
857,4
858,4
859,2
860,7
861,1
862,1
863,1
864,1
865,4
866,3
867,5
868,6
869,2
870,2
871,1
872,1
873,1
874,4
875,10
876,9
877,3
878,5
879,1
880,5
881,2
882,1
883,2
884,2
885,4
886,9
887,5
888,1
889,1
890,4
891,3
892,7
893,1
894,5
895,1
896,1
897,2
898,1
899,1
900,2
901,1
902,2
903,2
904,2
905,6
906,3
907,6
908,8
909,7
910,1
911,7
912,1
913,1
914,1
915,1
916,4
917,1
918,2
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,10
927,1
928,7
929,2
930,1
931,1
932,1
933,3
934,1
935,1
936,1
937,1
938,2
939,1
940,9
941,2
942,1
943,1
944,1
945,1
946,1
947,1
